field	occupation	count	expected	diff
COMPUTER SCIENCE	MGR-MEDICAL AND HEALTH SERVICES MANAGERS	820	4795.60172303571	0.170990012798837
COMPUTER SCIENCE	MGR-MISCELLANEOUS MANAGERS, INCLUDING FUNERAL SERVICE	26835	26092.1463719325	1.02847039172165
COMPUTER SCIENCE	MGR-PROPERTY, REAL ESTATE, AND COMMUNITY ASSOCIATION	963	2520.83364196785	0.382016482153995
COMPUTER SCIENCE	MGR-SOCIAL AND COMMUNITY SERVICE MANAGERS	870	2938.84036184546	0.296035133889912
COMPUTER SCIENCE	OFF-CUSTOMER SERVICE REPRESENTATIVES	3700	5885.39515218729	0.628674864528834
COMPUTER SCIENCE	OFF-FIRST-LINE SUPERVISORS OF OFFICE AND ADMINISTRATIVE	3556	5685.83579012303	0.625413770509728
COMPUTER SCIENCE	OFF-SECRETARIES AND ADMINISTRATIVE ASSISTANTS	1383	6403.03055894496	0.215991472673508
COMPUTER SCIENCE	PRT-POLICE OFFICERS	846	4037.50126574552	0.209535538026336
COMPUTER SCIENCE	SAL-FIRST-LINE SUPERVISORS OF NON-RETAIL SALES WORKERS	3475	6352.15925644048	0.547058072650915
COMPUTER SCIENCE	SAL-FIRST-LINE SUPERVISORS OF RETAIL SALES WORKERS	4632	9395.59738544303	0.492996859058323
COMPUTER SCIENCE	SAL-INSURANCE SALES AGENTS	910	3309.35255752839	0.274978257583906
COMPUTER SCIENCE	SAL-REAL ESTATE BROKERS AND SALES AGENTS	889	3486.37261071182	0.254992824710865
COMPUTER SCIENCE	SAL-RETAIL SALESPERSONS	3614	6413.05107994558	0.563538315062145
COMPUTER SCIENCE	SAL-SALES REPRESENTATIVES, SERVICES, ALL OTHER	2411	4241.61790585389	0.568415178715782
COMPUTER SCIENCE	SAL-SALES REPRESENTATIVES, WHOLESALE AND MANUFACTURING	2717	9496.90073473689	0.286093334645692
COMPUTER SCIENCE	SAL-SECURITIES, COMMODITIES, AND FINANCIAL SERVICES SALES	1042	2910.81035652594	0.357975914735864
GENERAL EDUCATION	BUS-HUMAN RESOURCES WORKERS	2418	4584.25206750721	0.52745790684997
GENERAL EDUCATION	BUS-MANAGEMENT ANALYSTS	1481	6510.76008423953	0.227469601219837
